Java HotSpot(TM) 64-Bit Server VM (25.172-b11) for windows-amd64 JRE (1.8.0_172-b11), built on Mar 28 2018 21:21:52 by "java_re" with MS VC++ 10.0 (VS2010)
5.780: [GC (Allocation Failure) [PSYoungGen: 184864K->32K(178688K)] 185716K->884K(352256K), 0.0004277 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
5.856: [GC (Allocation Failure) [PSYoungGen: 178208K->0K(172544K)] 179060K->852K(346112K), 0.0004950 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
5.931: [GC (Allocation Failure) [PSYoungGen: 172032K->0K(166400K)] 172884K->852K(339968K), 0.0008148 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
6.001: [GC (Allocation Failure) [PSYoungGen: 165888K->0K(160768K)] 166740K->852K(334336K), 0.0007140 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
6.069: [GC (Allocation Failure) [PSYoungGen: 160256K->0K(155136K)] 161108K->852K(328704K), 0.0006699 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
6.135: [GC (Allocation Failure) [PSYoungGen: 154624K->0K(150016K)] 155476K->852K(323584K), 0.0005984 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
6.198: [GC (Allocation Failure) [PSYoungGen: 149504K->32K(144896K)] 150356K->884K(318464K), 0.0004972 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
6.260: [GC (Allocation Failure) [PSYoungGen: 144416K->0K(140288K)] 145268K->852K(313856K), 0.0007654 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
6.320: [GC (Allocation Failure) [PSYoungGen: 139776K->0K(135680K)] 140628K->852K(309248K), 0.0007779 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
6.378: [GC (Allocation Failure) [PSYoungGen: 135168K->0K(131584K)] 136020K->852K(305152K), 0.0006253 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
6.436: [GC (Allocation Failure) [PSYoungGen: 131072K->0K(127488K)] 131924K->852K(301056K), 0.0004873 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
6.490: [GC (Allocation Failure) [PSYoungGen: 126976K->0K(123392K)] 127828K->852K(296960K), 0.0005915 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
6.542: [GC (Allocation Failure) [PSYoungGen: 122880K->0K(147968K)] 123732K->852K(321536K), 0.0008230 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
6.604: [GC (Allocation Failure) [PSYoungGen: 147456K->0K(177664K)] 148308K->852K(351232K), 0.0008732 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
6.680: [GC (Allocation Failure) [PSYoungGen: 177152K->0K(213504K)] 178004K->852K(387072K), 0.0008959 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
6.772: [GC (Allocation Failure) [PSYoungGen: 212992K->0K(205824K)] 213844K->852K(379392K), 0.0004386 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
6.859: [GC (Allocation Failure) [PSYoungGen: 205312K->0K(198144K)] 206164K->852K(371712K), 0.0008848 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
6.944: [GC (Allocation Failure) [PSYoungGen: 197632K->0K(190976K)] 198484K->852K(364544K), 0.0004746 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
7.026: [GC (Allocation Failure) [PSYoungGen: 190464K->32K(184320K)] 191316K->884K(357888K), 0.0008676 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
7.104: [GC (Allocation Failure) [PSYoungGen: 183840K->0K(177664K)] 184692K->852K(351232K), 0.0007730 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
7.180: [GC (Allocation Failure) [PSYoungGen: 177152K->0K(171520K)] 178004K->852K(345088K), 0.0005118 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
7.255: [GC (Allocation Failure) [PSYoungGen: 171008K->0K(165376K)] 171860K->852K(338944K), 0.0002447 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
7.330: [GC (Allocation Failure) [PSYoungGen: 164864K->32K(159744K)] 165716K->884K(333312K), 0.0009829 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
7.403: [GC (Allocation Failure) [PSYoungGen: 159264K->0K(154112K)] 160116K->852K(327680K), 0.0004776 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
7.469: [GC (Allocation Failure) [PSYoungGen: 153600K->0K(148992K)] 154452K->852K(322560K), 0.0007317 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
7.532: [GC (Allocation Failure) [PSYoungGen: 148480K->32K(143872K)] 149332K->884K(317440K), 0.0008704 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
7.595: [GC (Allocation Failure) [PSYoungGen: 143392K->32K(139264K)] 144244K->884K(312832K), 0.0007258 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
7.654: [GC (Allocation Failure) [PSYoungGen: 138784K->0K(134656K)] 139636K->852K(308224K), 0.0004736 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
7.710: [GC (Allocation Failure) [PSYoungGen: 134144K->0K(130560K)] 134996K->852K(304128K), 0.0005060 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
7.765: [GC (Allocation Failure) [PSYoungGen: 130048K->32K(126464K)] 130900K->884K(300032K), 0.0006123 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
7.822: [GC (Allocation Failure) [PSYoungGen: 125984K->0K(152064K)] 126836K->852K(325632K), 0.0007453 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
7.886: [GC (Allocation Failure) [PSYoungGen: 151551K->0K(146944K)] 152404K->852K(320512K), 0.0004654 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
7.949: [GC (Allocation Failure) [PSYoungGen: 146432K->32K(142336K)] 147284K->884K(315904K), 0.0005605 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
8.008: [GC (Allocation Failure) [PSYoungGen: 141856K->0K(137728K)] 142708K->852K(311296K), 0.0006907 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
8.065: [GC (Allocation Failure) [PSYoungGen: 137216K->0K(165376K)] 138068K->852K(338944K), 0.0007492 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
8.133: [GC (Allocation Failure) [PSYoungGen: 164864K->0K(198656K)] 165716K->852K(372224K), 0.0007060 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
8.228: [GC (Allocation Failure) [PSYoungGen: 198144K->0K(238592K)] 198996K->852K(412160K), 0.0011504 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
8.330: [GC (Allocation Failure) [PSYoungGen: 238080K->0K(229376K)] 238932K->852K(402944K), 0.0004265 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
8.429: [GC (Allocation Failure) [PSYoungGen: 228864K->0K(220672K)] 229716K->852K(394240K), 0.0007349 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
8.533: [GC (Allocation Failure) [PSYoungGen: 220160K->0K(212480K)] 221012K->852K(386048K), 0.0006479 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
8.620: [GC (Allocation Failure) [PSYoungGen: 211968K->0K(204800K)] 212820K->852K(378368K), 0.0007394 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
8.705: [GC (Allocation Failure) [PSYoungGen: 204288K->32K(197120K)] 205140K->884K(370688K), 0.0007399 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
8.786: [GC (Allocation Failure) [PSYoungGen: 196640K->0K(189952K)] 197492K->852K(363520K), 0.0004777 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
8.864: [GC (Allocation Failure) [PSYoungGen: 189440K->32K(183296K)] 190292K->884K(356864K), 0.0008736 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
8.941: [GC (Allocation Failure) [PSYoungGen: 182816K->32K(176640K)] 183668K->884K(350208K), 0.0005640 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
9.013: [GC (Allocation Failure) [PSYoungGen: 176160K->0K(170496K)] 177012K->852K(344064K), 0.0004865 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
9.083: [GC (Allocation Failure) [PSYoungGen: 169984K->32K(164352K)] 170836K->884K(337920K), 0.0008343 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
